YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2014,1,AK,Total Electric Power Industry,Total,589930
2014,1,AK,Total Electric Power Industry,Coal,57246
2014,1,AK,Total Electric Power Industry,Hydroelectric Conventional,128769
2014,1,AK,Total Electric Power Industry,Natural Gas,301234
2014,1,AK,Total Electric Power Industry,Other,2315
2014,1,AK,Total Electric Power Industry,Other Biomass,5275
2014,1,AK,Total Electric Power Industry,Petroleum,78672
2014,1,AK,Total Electric Power Industry,Wind,16419
2014,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2014,1,AK,"Electric Generators, Independent Power Producers",Total,5058
2014,1,AK,"Electric Generators, Independent Power Producers",Wind,5058
2014,1,AK,"Electric Generators, Electric Utilities",Total,527523
2014,1,AK,"Electric Generators, Electric Utilities",Coal,17271
2014,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,128769
2014,1,AK,"Electric Generators, Electric Utilities",Natural Gas,293865
2014,1,AK,"Electric Generators, Electric Utilities",Other,2315
2014,1,AK,"Electric Generators, Electric Utilities",Petroleum,73941
2014,1,AK,"Electric Generators, Electric Utilities",Wind,11361
2014,1,AK,"Combined Heat and Power, Industrial Power",Total,12000
2014,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6704
2014,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,939
2014,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,4357
2014,1,AK,"Combined Heat and Power, Electric Power",Total,16977
2014,1,AK,"Combined Heat and Power, Electric Power",Coal,16977
2014,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2014,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2014,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2014,1,AK,"Combined Heat and Power, Commercial Power",Total,28373
2014,1,AK,"Combined Heat and Power, Commercial Power",Coal,22998
2014,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,665
2014,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,4337
2014,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,373
