YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2010,1,AK,Total Electric Power Industry,Coal,58575
2010,1,AK,Total Electric Power Industry,Petroleum,123598
2010,1,AK,Total Electric Power Industry,Natural Gas,360405
2010,1,AK,Total Electric Power Industry,Hydroelectric Conventional,133765
2010,1,AK,Total Electric Power Industry,Wind,416
2010,1,AK,Total Electric Power Industry,Other Biomass,386
2010,1,AK,Total Electric Power Industry,Other,0
2010,1,AK,Total Electric Power Industry,Total,677145
2010,1,AK,"Electric Generators, Electric Utilities",Coal,18778
2010,1,AK,"Electric Generators, Electric Utilities",Petroleum,116736
2010,1,AK,"Electric Generators, Electric Utilities",Natural Gas,354078
2010,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,133765
2010,1,AK,"Electric Generators, Electric Utilities",Wind,416
2010,1,AK,"Electric Generators, Electric Utilities",Other,0
2010,1,AK,"Electric Generators, Electric Utilities",Total,623773
2010,1,AK,"Electric Generators, Independent Power Producers",Other,0
2010,1,AK,"Electric Generators, Independent Power Producers",Total,0
2010,1,AK,"Combined Heat and Power, Electric Power",Coal,17360
2010,1,AK,"Combined Heat and Power, Electric Power",Total,17360
2010,1,AK,"Combined Heat and Power, Commercial Power",Coal,22437
2010,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,946
2010,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,120
2010,1,AK,"Combined Heat and Power, Commercial Power",Total,23503
2010,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,5915
2010,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6206
2010,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,386
2010,1,AK,"Combined Heat and Power, Industrial Power",Total,12508
2010,1,AL,Total Electric Power Industry,Coal,5634357
2010,1,AL,Total Electric Power Industry,Petroleum,37323
2010,1,AL,Total Electric Power Industry,Natural Gas,2838445
2010,1,AL,Total Electric Power Industry,Other Gases,17708
2010,1,AL,Total Electric Power Industry,Nuclear,3611804
2010,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1412517
2010,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,217636
2010,1,AL,Total Electric Power Industry,Other Biomass,1094
2010,1,AL,Total Electric Power Industry,Other,21514
2010,1,AL,Total Electric Power Industry,Total,13792398
2010,1,AL,"Electric Generators, Electric Utilities",Coal,5572403
2010,1,AL,"Electric Generators, Electric Utilities",Petroleum,15405
