YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2003,1,AK,Total Electric Power Industry,Coal,54048
2003,1,AK,Total Electric Power Industry,Petroleum,75785
2003,1,AK,Total Electric Power Industry,Natural Gas,343856
2003,1,AK,Total Electric Power Industry,Hydroelectric Conventional,135163
2003,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,73
2003,1,AK,Total Electric Power Industry,Other Biomass,483
2003,1,AK,Total Electric Power Industry,Total,609407
2003,1,AK,"Electric Generators, Electric Utilities",Coal,17282
2003,1,AK,"Electric Generators, Electric Utilities",Petroleum,68649
2003,1,AK,"Electric Generators, Electric Utilities",Natural Gas,324824
2003,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,135163
2003,1,AK,"Electric Generators, Electric Utilities",Total,545918
2003,1,AK,"Combined Heat and Power, Electric Power",Coal,15633
2003,1,AK,"Combined Heat and Power, Electric Power",Total,15633
2003,1,AK,"Combined Heat and Power, Commercial Power",Coal,21133
2003,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,911
2003,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,73
2003,1,AK,"Combined Heat and Power, Commercial Power",Total,22117
2003,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,6225
2003,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,19031
2003,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,483
2003,1,AK,"Combined Heat and Power, Industrial Power",Total,25739
2003,1,AL,Total Electric Power Industry,Coal,6493028
2003,1,AL,Total Electric Power Industry,Petroleum,56865
2003,1,AL,Total Electric Power Industry,Natural Gas,1326098
2003,1,AL,Total Electric Power Industry,Other Gases,17409
2003,1,AL,Total Electric Power Industry,Nuclear,2811577
2003,1,AL,Total Electric Power Industry,Hydroelectric Conventional,969089
2003,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,320050
2003,1,AL,Total Electric Power Industry,Other Biomass,1861
2003,1,AL,Total Electric Power Industry,Other,2934
2003,1,AL,Total Electric Power Industry,Total,11998910
2003,1,AL,"Electric Generators, Electric Utilities",Coal,6453938
2003,1,AL,"Electric Generators, Electric Utilities",Petroleum,43319
2003,1,AL,"Electric Generators, Electric Utilities",Natural Gas,817912
2003,1,AL,"Electric Generators, Electric Utilities",Nuclear,2811577
2003,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,969089
2003,1,AL,"Electric Generators, Electric Utilities",Total,11095835
2003,1,AL,"Electric Generators, Independent Power Producers",Petroleum,19
2003,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,304323
2003,1,AL,"Electric Generators, Independent Power Producers",Total,304342
2003,1,AL,"Combined Heat and Power, Electric Power",Coal,18111
2003,1,AL,"Combined Heat and Power, Electric Power",Petroleum,0
