YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2019,1,AK,Total Electric Power Industry,Total,616037
2019,1,AK,Total Electric Power Industry,Coal,76740
2019,1,AK,Total Electric Power Industry,Hydroelectric Conventional,119572
2019,1,AK,Total Electric Power Industry,Natural Gas,340059
2019,1,AK,Total Electric Power Industry,Other,-244
2019,1,AK,Total Electric Power Industry,Petroleum,65687
2019,1,AK,Total Electric Power Industry,Other Biomass,2731
2019,1,AK,Total Electric Power Industry,Wind,11492
2019,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2019,1,AK,"Combined Heat and Power, Industrial Power",Total,10295
2019,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6411
2019,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,3742
2019,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,142
2019,1,AK,"Combined Heat and Power, Commercial Power",Total,29286
2019,1,AK,"Combined Heat and Power, Commercial Power",Coal,11398
2019,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,14242
2019,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,0
2019,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,1058
2019,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,2589
2019,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2019,1,AK,"Combined Heat and Power, Electric Power",Total,16159
2019,1,AK,"Combined Heat and Power, Electric Power",Coal,16159
2019,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2019,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2019,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2019,1,AK,"Electric Generators, Independent Power Producers",Total,4166
2019,1,AK,"Electric Generators, Independent Power Producers",Wind,4166
2019,1,AK,"Electric Generators, Electric Utilities",Total,556131
2019,1,AK,"Electric Generators, Electric Utilities",Coal,49184
2019,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,105330
2019,1,AK,"Electric Generators, Electric Utilities",Natural Gas,333648
