YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2013,1,AK,Total Electric Power Industry,Total,640200
2013,1,AK,Total Electric Power Industry,Coal,59029
2013,1,AK,Total Electric Power Industry,Hydroelectric Conventional,129987
2013,1,AK,Total Electric Power Industry,Natural Gas,345357
2013,1,AK,Total Electric Power Industry,Other,-16
2013,1,AK,Total Electric Power Industry,Other Biomass,2618
2013,1,AK,Total Electric Power Industry,Petroleum,95149
2013,1,AK,Total Electric Power Industry,Wind,8077
2013,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2013,1,AK,"Electric Generators, Independent Power Producers",Total,2579
2013,1,AK,"Electric Generators, Independent Power Producers",Wind,2579
2013,1,AK,"Electric Generators, Electric Utilities",Total,580432
2013,1,AK,"Electric Generators, Electric Utilities",Coal,16505
2013,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,129987
2013,1,AK,"Electric Generators, Electric Utilities",Natural Gas,338822
2013,1,AK,"Electric Generators, Electric Utilities",Other,-16
2013,1,AK,"Electric Generators, Electric Utilities",Petroleum,89635
2013,1,AK,"Electric Generators, Electric Utilities",Wind,5498
2013,1,AK,"Combined Heat and Power, Industrial Power",Total,11482
2013,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6021
2013,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,327
2013,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,5134
2013,1,AK,"Combined Heat and Power, Electric Power",Total,18068
2013,1,AK,"Combined Heat and Power, Electric Power",Coal,18068
2013,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2013,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2013,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2013,1,AK,"Combined Heat and Power, Commercial Power",Total,27640
2013,1,AK,"Combined Heat and Power, Commercial Power",Coal,24456
2013,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,513
2013,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,2291
2013,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,380
2013,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2013,1,AL,Total Electric Power Industry,Total,12877588
2013,1,AL,Total Electric Power Industry,Coal,3558451
2013,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1458415
2013,1,AL,Total Electric Power Industry,Natural Gas,3750663
2013,1,AL,Total Electric Power Industry,Nuclear,3824937
2013,1,AL,Total Electric Power Industry,Other,214
2013,1,AL,Total Electric Power Industry,Other Biomass,369
2013,1,AL,Total Electric Power Industry,Other Gases,20228
2013,1,AL,Total Electric Power Industry,Petroleum,9998
2013,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,254313
2013,1,AL,"Electric Generators, Independent Power Producers",Total,2055476
2013,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,2055179
2013,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,206
2013,1,AL,"Electric Generators, Independent Power Producers",Petroleum,90
2013,1,AL,"Electric Generators, Electric Utilities",Total,10045938
2013,1,AL,"Electric Generators, Electric Utilities",Coal,3540711
2013,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1458415
2013,1,AL,"Electric Generators, Electric Utilities",Natural Gas,1213257
2013,1,AL,"Electric Generators, Electric Utilities",Nuclear,3824937
2013,1,AL,"Electric Generators, Electric Utilities",Petroleum,8618
2013,1,AL,"Combined Heat and Power, Industrial Power",Total,387753
2013,1,AL,"Combined Heat and Power, Industrial Power",Coal,17740
2013,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,107862
2013,1,AL,"Combined Heat and Power, Industrial Power",Other,214
2013,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,162
2013,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,20228
2013,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,1290
2013,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,240255
2013,1,AL,"Combined Heat and Power, Electric Power",Total,388422
2013,1,AL,"Combined Heat and Power, Electric Power",Coal,0
2013,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,374365
2013,1,AL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,14057
2013,1,AR,Total Electric Power Industry,Total,5649549
2013,1,AR,Total Electric Power Industry,Coal,2717870
2013,1,AR,Total Electric Power Industry,Hydroelectric Conventional,108029
2013,1,AR,Total Electric Power Industry,Natural Gas,1276886
2013,1,AR,Total Electric Power Industry,Nuclear,1388982
2013,1,AR,Total Electric Power Industry,Other,2958
2013,1,AR,Total Electric Power Industry,Other Biomass,9958
2013,1,AR,Total Electric Power Industry,Petroleum,2981
2013,1,AR,Total Electric Power Industry,Pumped Storage,764
2013,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,141121
2013,1,AR,"Electric Generators, Independent Power Producers",Total,762405
2013,1,AR,"Electric Generators, Independent Power Producers",Coal,167302
2013,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,1888
2013,1,AR,"Electric Generators, Independent Power Producers",Natural Gas,585344
2013,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,5643
2013,1,AR,"Electric Generators, Independent Power Producers",Petroleum,2228
2013,1,AR,"Electric Generators, Electric Utilities",Total,4553459
2013,1,AR,"Electric Generators, Electric Utilities",Coal,2539974
2013,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,106142
2013,1,AR,"Electric Generators, Electric Utilities",Natural Gas,516946
2013,1,AR,"Electric Generators, Electric Utilities",Nuclear,1388982
2013,1,AR,"Electric Generators, Electric Utilities",Petroleum,651
2013,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,764
2013,1,AR,"Combined Heat and Power, Industrial Power",Total,182902
2013,1,AR,"Combined Heat and Power, Industrial Power",Coal,10594
2013,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,28127
2013,1,AR,"Combined Heat and Power, Industrial Power",Other,2958
2013,1,AR,"Combined Heat and Power, Industrial Power",Other Biomass,0
2013,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,102
2013,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,141121
2013,1,AR,"Combined Heat and Power, Electric Power",Total,150183
2013,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,146364
2013,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,3819
2013,1,AR,"Combined Heat and Power, Commercial Power",Total,600
2013,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,105
2013,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,495
2013,1,AZ,Total Electric Power Industry,Total,8809568
2013,1,AZ,Total Electric Power Industry,Coal,3755047
2013,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,554553
2013,1,AZ,Total Electric Power Industry,Natural Gas,1497395
2013,1,AZ,Total Electric Power Industry,Nuclear,2859327
2013,1,AZ,Total Electric Power Industry,Other,179
2013,1,AZ,Total Electric Power Industry,Other Biomass,5638
2013,1,AZ,Total Electric Power Industry,Petroleum,3546
2013,1,AZ,Total Electric Power Industry,Pumped Storage,1416
2013,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,91628
2013,1,AZ,Total Electric Power Industry,Wind,31273
2013,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,9566
2013,1,AZ,"Electric Generators, Independent Power Producers",Total,904707
2013,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,778980
2013,1,AZ,"Electric Generators, Independent Power Producers",Other,179
2013,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,3506
2013,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,81203
2013,1,AZ,"Electric Generators, Independent Power Producers",Wind,31273
2013,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,9566
2013,1,AZ,"Electric Generators, Electric Utilities",Total,7880948
2013,1,AZ,"Electric Generators, Electric Utilities",Coal,3755047
2013,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,554553
2013,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,695376
2013,1,AZ,"Electric Generators, Electric Utilities",Nuclear,2859327
2013,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,2132
2013,1,AZ,"Electric Generators, Electric Utilities",Petroleum,3543
2013,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,1416
2013,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,9555
2013,1,AZ,"Combined Heat and Power, Electric Power",Total,16088
2013,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,16088
2013,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2013,1,AZ,"Combined Heat and Power, Commercial Power",Total,7825
2013,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,6951
2013,1,AZ,"Combined Heat and Power, Commercial Power",Other Biomass,0
2013,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,3
2013,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,871
2013,1,CA,Total Electric Power Industry,Total,15458493
2013,1,CA,Total Electric Power Industry,Coal,65338
2013,1,CA,Total Electric Power Industry,Geothermal,1068250
2013,1,CA,Total Electric Power Industry,Hydroelectric Conventional,1693727
2013,1,CA,Total Electric Power Industry,Natural Gas,9693411
2013,1,CA,Total Electric Power Industry,Nuclear,1672507
2013,1,CA,Total Electric Power Industry,Other,78202
2013,1,CA,Total Electric Power Industry,Other Biomass,237409
2013,1,CA,Total Electric Power Industry,Other Gases,110424
2013,1,CA,Total Electric Power Industry,Petroleum,2845
2013,1,CA,Total Electric Power Industry,Pumped Storage,-32630
2013,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,64636
2013,1,CA,Total Electric Power Industry,Wind,482260
2013,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,322114
2013,1,CA,"Electric Generators, Independent Power Producers",Total,5816572
2013,1,CA,"Electric Generators, Independent Power Producers",Geothermal,967816
2013,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,72117
2013,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,3907820
2013,1,CA,"Electric Generators, Independent Power Producers",Other,9729
2013,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,114675
2013,1,CA,"Electric Generators, Independent Power Producers",Petroleum,135
2013,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,57688
2013,1,CA,"Electric Generators, Independent Power Producers",Wind,457009
2013,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,229584
2013,1,CA,"Electric Generators, Electric Utilities",Total,6625465
2013,1,CA,"Electric Generators, Electric Utilities",Geothermal,73938
2013,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1621234
2013,1,CA,"Electric Generators, Electric Utilities",Natural Gas,3239726
2013,1,CA,"Electric Generators, Electric Utilities",Nuclear,1672507
2013,1,CA,"Electric Generators, Electric Utilities",Other,-117
2013,1,CA,"Electric Generators, Electric Utilities",Other Biomass,17745
2013,1,CA,"Electric Generators, Electric Utilities",Other Gases,0
2013,1,CA,"Electric Generators, Electric Utilities",Petroleum,2511
2013,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,-32630
2013,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,5398
2013,1,CA,"Electric Generators, Electric Utilities",Wind,25153
2013,1,CA,"Combined Heat and Power, Industrial Power",Total,1307660
2013,1,CA,"Combined Heat and Power, Industrial Power",Coal,32860
2013,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,1060415
2013,1,CA,"Combined Heat and Power, Industrial Power",Other,59095
2013,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,538
2013,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,110424
2013,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,139
2013,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,90
2013,1,CA,"Combined Heat and Power, Industrial Power",Wind,60
2013,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,44041
2013,1,CA,"Combined Heat and Power, Electric Power",Total,1475750
2013,1,CA,"Combined Heat and Power, Electric Power",Coal,32478
2013,1,CA,"Combined Heat and Power, Electric Power",Geothermal,26496
2013,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,1340162
2013,1,CA,"Combined Heat and Power, Electric Power",Other,9495
2013,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,18629
2013,1,CA,"Combined Heat and Power, Electric Power",Other Gases,0
2013,1,CA,"Combined Heat and Power, Electric Power",Petroleum,0
2013,1,CA,"Combined Heat and Power, Electric Power",Solar Thermal and Photovoltaic,0
2013,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,48490
2013,1,CA,"Combined Heat and Power, Commercial Power",Total,233046
2013,1,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,376
2013,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,145289
2013,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,85822
2013,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,60
2013,1,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1460
2013,1,CA,"Combined Heat and Power, Commercial Power",Wind,38
2013,1,CO,Total Electric Power Industry,Total,4749329
2013,1,CO,Total Electric Power Industry,Coal,3111700
